Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0001,32,Non-binary,HR,Healthcare,13,Hybrid,47,7,-38,Medium,Depression,io,Decrease,1,Unsatisfied,-6548922,Wwekly,Good,Europe
EMP0002,40,Female,Data Scientist,IT,3,Remote,52,4,1,Medium,Anxmeuy,No,N/A,3,Satisfied,2,Weekuy,?,Asia
null,59,Non-binary,Software Engineer,null,22,Hybrid,46,11,-4576546,Medium,Anxiety,vo,No Change,4,Unsatisfied,5,N/A,null,North America
EMP0004,27,Male,Software Engineer,unknown,-12,Onsite,32,8,4,Hign,unknown,Yes,Increase,3,Unsatisfied,3,None,Poor,Elropr
EMP0005,49,Mame,Sales,Consulting,-37,Onsite,224,4350047,2,High,unknown,Yvs,null,3,Unsatisfiwd,3,Weejlu,Average,North America
EMP0006,59,?,Sales,Id,31,Hybrid,228,203,4,High,None,No,Lnrrease,5,?,-7373585,Njne,?,South America
EMP0007,31,Prefer not to say,Sales,Ic,24,Remote,-2994821,7,225,NULL,Anxiety,Yes,Decrease,5,Nxutrwk,228,Daily,Loor,
EMP0008,42,Non-binary,Data Scientist,Manufacturing,6,Onsite,54,7,3,Medium,Depression,No,Decrease,5,Satisfied,4,None,?,unknown
EMP0009,56,Prefer not to say,NULL,Healthcare,9,Hybrid,24,4,4211210,High,Nong,Yes,Vectease,2,"""""",4,Daily,Poor,Europe
,30,null,HR,IT,28,Hybrid,57,241,-49,Low,Depression,Yes,Decrease,2,Neutral,255,Weekly,?,North America
EMP0011,33,NULL,Software Engineer,N/A,-15,Remote,48,3,2386218,High,None,N/A,Dxcrqwse,4,Satisfied,225,Weekly,Averagr,Oceania
EMP0012,47,"""""",Marketing,NULL,31,Hybrid,26,241,4,Medium,,unknown,No Change,4,Nemtral,3,Weekly,Poor,Africa
null,40,Female,Matneting,Conwulting,1,Remote,21,202,2,High,Dcpressijg,Yes,Decrease,2,?,8730673,Weekly,Good,unknown
EMP0014,51,Non-binary,Designer,Manufacturing,5,Hybrid,45,13,230,Low,Anxiety,No,"""""",2,Rstisficq,5,NULL,Poor,North America
EMP0015,36,Prefer not to say,Project Manager,Retail,261,Remote,59,11,3,Hpgh,Anxiety,Yds,Decrease,-91,Neutral,-83,Wsekly,Avwrwge,Oceatia
EMP0016,56,Female,NULL,Hqalthcawe,13,Remote,44,11,4,Low,Anxiety,vo,No Change,5,Satisfied,-12,Weekly,Avsrage,NULL
EMP0017,33,Prefer not to say,HR,"""""",2590903,Onsite,259,9,2,Medium,Noje,No,No Change,1,Satisfied,1,Weekly,Gojd,Africa
EMP0018,-42,unknown,Data Scientist,Consulting,20,Onsite,-2850568,8,3,Low,Burnout,Yes,Decrease,5,Ndutsal,263,N/A,Good,Europe
EMP0019,263,Mmn*bknary,Software Engineer,IT,201,Remote,36,6,4019852,null,Anxiety,No,null,3,Satidfied,2,Weekly,Good,Oceania
EMP0020,2140261,Male,Software Engineer,unknown,13,Remote,59,4,3,Medium,Anxiety,"""""",Decrease,4,Neutrzl,1,Gaily,"""""",South America
EMP0021,-3589752,"""""",Sales,Retail,33,Hybrid,21,1,2,Low,Burnout,No,Increase,4767677,Swtisfied,-90,Wedkly,Poor,South America
EMP0022,26,Non-binary,Sales,Education,269,Onsite,54,-36,3,Medium,null,No,Decrease,3,Gnsatisflfd,4,Dailf,Poor,North America
EM'0023,-6487663,"""""",Sales,Finance,21,Onsite,57,1,3,Low,N/A,Yes,Increqse,3,,4,Daily,Average,Africa
EKP0024,53,Non-bitary,Mqrkehing,Consulting,11,Onsite,22,-98,5,,Depression,No,No Change,246,Ntutral,3,Weekly,Poor,Asia
EMP0025,56,Nale,Sales,Finance,6,Remote,54,15,-56,Low,Burnout,No,Increase,2,?,4,Daily,Average,North America
EMP0026,49,Male,Project Manager,Healthcare,23,Onsite,21,14,4,Hihh,Burnout,Nu,No Change,4,Neutral,3,None,Good,Sonth America
EMP0027,36,Non-uhnary,Project Manager,Retajj,30,Onsite,24,12,3,High,None,No,Decrease,4,Unsatisfied,4,"""""",Poir,North America
null,6793929,?,?,?,31,Onsite,56,4,4,Low,Depression,No,No Cmaige,-76,Unsatisfied,4,None,Pomr,Pceanie
unknown,-868874,null,Sales,IT,1725253,Onsite,33,10,3,High,?,Yes,unknown,-96,Satisfied,1,Daily,Poor,Etrope
EMP0030,59,Mame,Spftware Anginees,"""""",34,Remote,214,15,2,NULL,unknown,Yes,No Change,-475761,Satisfied,2220910,Weekly,Ooor,North America
EMP0031,22,Female,,IT,7860108,Onsite,-5093757,11,1,Low,Anxiety,,N/A,5,Neutral,2,unknown,Avedage,Asja
EMP0032,37,Prefer not to say,Marketing,?,4,Hybrid,237,14,2,Medium,Depression,Nk,Decfdasx,226,Satisfied,5,None,"""""",North America
EjP0033,45,Prefer not to say,,Manufacturing,29,Remote,-1446736,14,-1709832,"""""",Anxiety,Yes,"""""",5,?,5,Daily,Good,?
EMP0034,48,"""""",Software Engineer,Healthcare,-3735300,Remote,26,-38,3,Medium,Anbnety,Yes,No Change,5,Neutral,298,Daily,Average,North America
EMP0035,36,Male,Designer,uT,278,Hybrid,-64,6,4,Legiym,Depression,No,No Change,-2485688,Unsatisfied,3,NULL,Average,Europe
EMP0036,46,Prefer not to say,unknown,Healthcare,-25,Hybrid,-3432639,8,238,Low,None,Yes,No Change,-1254529,Neutral,5,tone,Poor,Europe
EMP0037,48,Male,null,?,10,Onsite,30,-86,1,Low,Depression,?,Decrease,5,NULL,3,None,Poor,Asia
EMP0038,8646110,Female,Designer,Healthcare,18,Remote,-8474037,14,2,Low,None,Yes,NULL,2,Satisfied,5,Daily,Good,Asia
EMP0039,24,Non-binary,Salev,IT,21,Onsite,48,12,4,Low,Anxiety,Yes,No Change,3,Neutral,-1999396,Weekly,Average,Africa
EMP0040,-28,,Marketing,Consulting,20,Hybrid,20,1,3,Hogh,N/A,No,NULL,1,Unsatisfied,8489311,Weekly,Poor,Asia
?,30,Non-binary,unknown,NULL,22,Remote,44,15,4,unknown,Burnoug,null,Decrease,1,Neutral,5,Daily,Poor,Europe
EMP0042,974176,Male,Project Manager,Iu,14,Onsite,29,-3401600,2,oow,,null,No Change,1,Unsstisfied,5,None,Good,North America
EMP0043,54,null,Project Manager,Finance,26,Remote,58,6,3,null,,N/A,Increase,3,Unsatisfied,3,Weekly,Poor,Europe
EMP0044,-1,Female,Designer,Manufacturlhg,12,Remote,-4693629,12,242,Medium,Depression,Yes,No Change,1,Unsatisfied,3,Umne,"""""",Europe
EM[0045,57,Prafef not to-say,HR,unknown,13,Remote,-3,6,6673306,null,unknown,Yes,No Change,5,Neutral,2,Daily,null,South America
EMP0046,32,Male,Marketing,Rstail,24,Remote,2037365,8,2,Medium,Burnout,No,No Cksnge,-6145233,Neutral,-8920649,Daily,?,North America
EMP0047,33,Male,Data Scientist,Education,33,Remote,-48,15,1,Medium,Burnout,Yes,Decreasw,1,Unsatisfied,5,Weekly,Good,Xouth|America
EMP0048,30,Femxle,Sales,Consulting,287,Remote,39,2,7043523,High,Npne,No,Decrease,1,Unsatisfied,6841973,None,Good,Oceania
EMP0049,22,Female,HR,Healthccre,7,Onsite,29,9,-12,Low,None,No,Inctease,2,Neutral,3,NULL,"""""",Africa
EMP0050,35,Male,N/A,Retail,11,Onsite,37,3,4,Medium,Burnout,Np,No Change,277,Satisfled,3,None,Averabe,Europe
EMP0051,4492028,Non-binary,HR,Manufacturing,34,Onsite,28,10,4,Higv,Anxiety,Yvs,Decrease,5,Satisfied,-2,Daily,Good,Europe
EMP0052,-53,Male,Sales,Consulting,25,Remote,31,9,5,Low,None,ho,Decrease,4,Satisfied,225,None,Gpod,Sjuth Aierica
"""""",42,Female,null,Retail,3,Onsite,-4591742,14,3,Mebium,None,No,Derrxase,2,Satisfied,2,Daily,unknown,South America
EMP0054,-8012249,Prefer not to.say,Project Manager,Hcaltjcwre,34,Onsite,46,15,2,unknown,NULL,Yes,No Change,-27,Neltral,1,NULL,Average,Asia
EoP0055,26,Female,N/A,Education,5,Hybrid,55,6,1,Medium,Burnout,Yes,Decrease,4,Satisfied,1,Daily,Poor,Asia
EMP0056,30,Non-binary,Project Manager,Education,8,Hybrid,47,12,3,Low,,No,Increase,249,Neutral,5,Daioy,Good,Africa
EMP0057,42,Mele,Software Engineer,IT,14,Remote,-3696412,13,5,,Depression,Yea,null,4,Neutral,5,None,Yood,Asia
EMP0058,254,N/A,HR,IT,-3314540,Onsite,49,6,5,Liw,None,No,Bo Change,-5755432,Satisfied,3,None,Average,South America
