Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0001,32,Non-binary,HR,Healthcare,13,Hybrid,47,7,2,Mediun,Depression,No,Decrease,1,Unsatisfied,1,Weekly,Good,Europe
NULL,7831063,Female,Data Sgiegtist,?,3,Remote,52,4,1,Medium,Anxiety,No,Increase,3,Satisfied,213,Weekly,Good,Asia
EMP0003,59,N/A,Software Engineer,Edhcation,22,Hybrid,46,-71,5,Medium,Anxiety,No,No Change,4,Unsatisfied,-21,None,Poor,North America
EMP0004,208,Male,Software Engineer,Finance,20,Onsite,32,8,4,High,NULL,Yes,Increase,3,Unsatisfied,3,None,Poor,Europe
EMP0005,49,Male,Saled,Consulting,32,Onsite,35,12,2,High,None,Yes,Decrease,3,Unsatisfied,3,Weekly,N/A,North America
EMP0006,59,,Sales,IT,31,Hybrid,39,3,4,High,unknown,No,Increase,5,null,1,None,Average,South America
EMP0007,31,Prefer not to say,Sales,IT,24,Remote,51,7,1676678,Loe,Anxiety,null,Decrease,5,Neutral,3,Daily,Poor,Asia
EMP0008,42,,Data Scientist,Manufacturing,6,Onsite,54,7,3,Medium,Depression,No,Decrease,5,Satisfied,4,None,Average,North America
,56,Prefer not to say,Data Scientist,Healthcare,9,Hybrid,24,4,2,High,Nine,Yes,Decrease,2,N/A,4,Daily,Poor,Europe
EMP0010,30,Female,"""""",IT,28,Hybrid,57,6,1,Low,Depression,Yes,Decrease,217,Neutral,1,Weekly,Poor,North America
EMP0011,33,Non-binary,Software Engineer,?,219,Remote,48,3,1924273,High,None,Yes,unknown,221,Satisgied,2738750,Weekly,Average,N/A
EMP0012,47,Female,Marketing,Consulting,31,Hybrid,26,12,4,Medium,None,Yes,No Change,4,,3,Weekly,Poor,
EMP0013,40,Female,Marketing,Consulting,1,Remote,21,7,2,High,Depression,Yes,Decrease,9284194,Neuyral,1,Weekly,Good,Europe
EMP0014,51,unknown,Designer,Manufacturing,5,Hybrid,45,13,1,Low,Anxiety,No,Decrease,2,Satisfied,5,Weekly,"""""",North America
null,36,Prefer not to say,Project Manager,Retail,23,Remote,59,11,3,High,Anxiety,Yes,Decrease,5,Neutral,-75,Weekly,Average,Ocewniz
